Fecha,0,1-4,5-9,10-14,15-19,20-39,40-49,50-59,60-
2020-04-05,0,0,0,0,0,0,1,2,3
2020-04-06,0,0,0,0,0,0,1,3,4
2020-04-07,0,0,0,0,0,0,1,3,4
