Fecha,0,1-4,5-9,10-14,15-19,20-39,40-49,50-59,60-
2020-04-05,0,0,2,3,4,27,16,19,23
2020-04-06,0,0,2,3,4,28,17,19,26
2020-04-07,0,0,2,4,5,31,18,20,27
2020-04-08,0,1,2,4,6,42,23,23,34
2020-04-09,0,2,2,5,6,42,23,24,34
2020-04-10,0,2,2,5,6,43,24,24,35
2020-04-11,0,2,3,6,6,44,27,25,37
2020-04-12,0,2,3,6,8,51,29,29,39
2020-04-13,0,2,3,6,8,57,32,32,40
2020-04-14,0,2,3,6,10,69,36,36,41
2020-04-15,0,2,4,7,11,81,36,39,49
2020-04-16,0,2,5,8,11,84,37,40,50
2020-04-17,0,2,6,7,11,89,40,42,51
2020-04-18,0,3,6,7,12,96,42,42,56
2020-04-19,0,6,7,9,13,108,44,45,59
2020-04-20,0,7,8,10,13,116,47,49,62
