Fecha,0,1-4,5-9,10-14,15-19,20-39,40-49,50-59,60-
2020-04-05,1,1,2,0,5,36,15,11,18
2020-04-06,1,1,2,1,5,38,17,11,19
2020-04-07,1,1,2,1,5,41,18,12,22
2020-04-08,0,1,2,1,6,50,28,12,29
2020-04-09,0,1,2,1,6,51,28,12,29
2020-04-10,1,1,2,1,6,51,28,14,30
2020-04-11,1,1,3,3,6,56,31,15,34
2020-04-12,1,1,4,3,6,60,33,17,38
2020-04-13,1,2,4,4,6,65,34,20,38
2020-04-14,1,2,4,4,7,71,40,24,41
2020-04-15,1,2,4,4,7,76,45,26,47
2020-04-16,1,2,4,4,7,82,48,33,47
2020-04-17,1,2,5,5,8,91,51,33,48
2020-04-18,1,3,5,5,10,95,52,34,50
2020-04-19,1,3,6,5,11,105,53,36,53
2020-04-20,1,3,9,5,12,110,54,38,54
